Artículo,Desde,Hasta,Párrafos A,Párrafos B,Sim A→B,Sim B→A,Eliminados,Añadidos
Holodomor,2005-12-30,2006-03-29,40,42,0.8941,0.8941,9,9
Holodomor,2006-03-29,2006-06-29,42,55,0.9709,0.9203,1,10
Holodomor,2006-06-29,2006-12-28,55,70,0.8915,0.8475,8,21
Holodomor,2006-12-28,2007-12-30,70,82,0.8918,0.863,14,24
Holodomor,2007-12-30,2008-03-30,82,106,0.9583,0.9176,3,14
Holodomor,2008-03-30,2008-06-29,106,109,0.9433,0.9416,9,11
Holodomor,2008-06-29,2008-09-25,109,128,0.9585,0.938,9,15
Holodomor,2008-09-25,2008-12-27,128,67,0.7896,0.8994,67,15
Holodomor,2008-12-27,2010-12-30,67,80,0.8772,0.8621,17,22
Holodomor,2010-12-30,2013-06-25,80,84,0.9153,0.9069,8,14
Holodomor,2013-06-25,2022-12-26,84,117,0.8207,0.7863,36,64
Holodomor,2022-12-26,2026-05-16,117,135,0.9499,0.9069,8,28
United States and state-sponsored terror,2015-05-29,2015-06-26,44,44,0.9928,0.9928,0,0
United States and state-sponsored terror,2015-06-26,2015-10-28,44,44,0.9983,0.9983,0,0
United States and state-sponsored terror,2015-10-28,2015-11-26,44,46,0.9887,0.9789,0,1
United States and state-sponsored terror,2015-11-26,2017-04-06,46,45,0.964,0.9872,3,1
United States and state-sponsored terror,2017-04-06,2017-09-17,45,56,0.9957,0.9107,0,11
United States and state-sponsored terror,2017-09-17,2017-12-17,56,63,0.996,0.9559,0,5
United States and state-sponsored terror,2017-12-17,2021-06-28,63,54,0.9058,0.9445,11,4
United States and state-sponsored terror,2021-06-28,2026-04-28,54,59,0.9874,0.9606,0,4
